lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
KSF,Fresh,Flow2(Manual),10,Disbursal acc verified,731,98.25
KSF,Fresh,Flow1(Auto),10,Disbursal acc verified,730,97.86
SHRIRAM,Fresh,Flow2(Manual),9,BRE2 completed,727,85.93
NACL,Fresh,Flow2(Manual),6,Child_Lead_Created,724,
PIRAMAL,Renewal,Flow1(Auto),6,Child_Lead_Created,720,
SHRIRAM,Fresh,Flow2(Manual),10,Disbursal acc verified,709,97.52
PIRAMAL,Fresh,Flow1(Auto),9,BRE2 completed,708,51.91
SHRIRAM,Renewal,Flow1(Auto),7,Selfie uploaded,706,95.28
PIRAMAL,Fresh,Flow1(Auto),10,Disbursal acc verified,703,99.29
KSF,Fresh,Flow2(Manual),11,Review submit,691,94.53
PIRAMAL,Renewal,Flow1(Auto),7,Selfie uploaded,673,93.47
KSF,Fresh,Flow1(Auto),11,Review submit,672,92.05
MFL,Fresh,Flow1(Auto),7,Selfie uploaded,664,89.01
UCL,MicroML,Flow1(Auto),9,BRE2 completed,663,88.28
KSF,Renewal,Flow2(Manual),6,Child_Lead_Created,642,
PIRAMAL,Fresh,Flow1(Auto),11,Review submit,641,91.18
NACL,Fresh,Flow2(Manual),7,Selfie uploaded,632,87.29
PIRAMAL,Fresh,Flow2(Manual),9,BRE2 completed,628,67.17
UCL,MicroML,Flow1(Auto),10,Disbursal acc verified,622,93.82
PIRAMAL,Fresh,Flow2(Manual),10,Disbursal acc verified,617,98.25
PYFL,Renewal,Flow1(Auto),9,BRE2 completed,608,68.70
PYFL,Renewal,Flow1(Auto),10,Disbursal acc verified,605,99.51
PYFL,Fresh,Flow2(Manual),7,Selfie uploaded,604,81.29
SHRIRAM,Fresh,Flow2(Manual),11,Review submit,600,84.63
FULLERTON,Renewal,Flow2(Manual),14,Submit to LMS,592,68.44
SHRIRAM,Fresh,Flow1(Auto),15,Disbursed,583,74.27
UCL,MicroML,Flow2(Manual),8,KYC completed,580,55.29
PIRAMAL,Fresh,Flow2(Manual),11,Review submit,578,93.68
PIRAMAL,Fresh,Flow1(Auto),12,Mandate done,578,90.17
KSF,Fresh,Flow2(Manual),12,Mandate done,576,83.36
PIRAMAL,Fresh,Flow1(Auto),13,Application submitted by user,576,99.65
KSF,Fresh,Flow2(Manual),13,Application submitted by user,574,99.65
MFL,Renewal,Flow1(Auto),6,Child_Lead_Created,573,
PYFL,Fresh,Flow2(Manual),8,KYC completed,571,94.54
KSF,Fresh,Flow1(Auto),12,Mandate done,568,84.52
KSF,Fresh,Flow1(Auto),13,Application submitted by user,565,99.47
PYFL,Renewal,Flow1(Auto),11,Review submit,562,92.89
PYFL,Renewal,Flow1(Auto),13,Application submitted by user,562,109.13
KSF,Renewal,Flow2(Manual),7,Selfie uploaded,561,87.38
NACL,Fresh,Flow1(Auto),9,BRE2 completed,552,70.23
MFL,Renewal,Flow1(Auto),7,Selfie uploaded,552,96.34
