lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
FULLERTON,2.LMTD,Renewal,Flow1(Auto),2.0,Workable leads,,1931,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,1931,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,1927,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1927,
UCL,1.MTD,MicroML,Flow1(Auto),6.0,Child_Lead_Created,,1875,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),14.0,Submit to LMS,,1874,
KSF,2.LMTD,Fresh,Flow2(Manual),11.0,Review submit,,1869,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),4.0,BRE1 completed,,1857,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1857,
FULLERTON,1.MTD,Renewal,Flow1(Auto),11.0,Review submit,,1807,
KSF,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,1790,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),15.0,Disbursed,,1767,
KSF,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,1759,
KSF,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1740,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,1712,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),4.0,BRE1 completed,,1703,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,1703,
FULLERTON,1.MTD,Renewal,Flow1(Auto),12.0,Mandate done,,1697,
FULLERTON,1.MTD,Renewal,Flow1(Auto),13.0,Application submitted by user,,1695,
FULLERTON,1.MTD,Renewal,Flow2(Manual),6.0,Child_Lead_Created,,1687,
FULLERTON,1.MTD,Renewal,Flow2(Manual),2.0,Workable leads,,1687,
KSF,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,1668,
MFL,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1658,
MFL,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,1658,
PYFL,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1647,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1643,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),2.0,Workable leads,,1643,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,1635,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,1616,
FULLERTON,1.MTD,Renewal,Flow2(Manual),7.0,Selfie uploaded,,1594,
KSF,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1564,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),8.0,KYC completed,,1551,
KSF,2.LMTD,Fresh,Flow2(Manual),12.0,Mandate done,,1524,
KSF,2.LMTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,1515,
KSF,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,1504,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),15.0,Disbursed,,1500,
UCL,1.MTD,MicroML,Flow2(Manual),6.0,Child_Lead_Created,,1496,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,1491,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1465,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),4.0,BRE1 completed,,1465,
FULLERTON,1.MTD,Fresh,Flow1(Auto),6.1,Child_Lead_Created,KYC_IN_PROGRESS,1447,13.7
MFL,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,1437,
FULLERTON,1.MTD,Renewal,Flow2(Manual),8.0,KYC completed,,1434,
KSF,2.LMTD,Fresh,Flow1(Auto),12.0,Mandate done,,1428,
